,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
40,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
41,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
42,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
43,33,17,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
44,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
45,33,17,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
46,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
47,33,16,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
48,33,16,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
49,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
50,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
51,33,16,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
52,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
53,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
54,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
55,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
56,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
57,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
58,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
59,35,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
60,35,18,12,9,7,6,5,4,4,4,3,3,3,2,2,2,2,2,2,2
61,35,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
62,35,17,12,9,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2,2
63,35,18,12,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
64,36,18,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
65,36,18,12,9,7,6,5,5,4,4,3,3,3,3,3,2,2,2,2,2
66,36,18,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
67,36,18,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
68,36,18,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
69,36,18,12,9,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2,2
70,37,18,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
71,36,18,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
72,37,19,12,9,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2
73,37,19,12,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
74,38,19,13,9,8,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
75,39,19,13,10,8,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2
76,38,19,13,10,8,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2
77,39,19,13,10,8,6,5,5,4,4,3,3,3,3,3,2,2,2,2,2
78,39,20,13,10,8,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2
79,40,20,13,10,8,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2
80,40,20,13,10,8,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2
81,40,20,13,10,8,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2
82,41,21,14,10,8,7,6,5,5,4,4,3,3,3,3,3,2,2,2,2
83,42,21,14,10,8,7,6,5,5,4,4,4,3,3,3,3,2,2,2,2
84,42,21,14,10,8,7,6,5,5,4,4,3,3,3,3,3,2,2,2,2
85,42,21,14,10,8,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2
86,42,21,14,11,8,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2
87,43,21,14,11,9,7,6,5,5,4,4,4,3,3,3,3,2,2,2,2
88,43,22,14,11,9,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2
89,43,21,14,11,9,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2
90,43,22,14,11,9,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2
91,43,21,14,11,9,7,6,5,5,4,4,4,3,3,3,3,2,2,2,2
